GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC17,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC02_VC17,Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC03_VC17,Percent; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC04_VC17,Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC01_VC18,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC02_VC18,Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC03_VC18,Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC04_VC18,Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC01_VC21,Estimate; HOUSEHOLDS BY TYPE - Average household size
HC02_VC21,Margin of Error; HOUSEHOLDS BY TYPE - Average household size
HC03_VC21,Percent; HOUSEHOLDS BY TYPE - Average household size
HC04_VC21,Percent Margin of Error; HOUSEHOLDS BY TYPE - Average household size
HC01_VC22,Estimate; HOUSEHOLDS BY TYPE - Average family size
HC02_VC22,Margin of Error; HOUSEHOLDS BY TYPE - Average family size
HC03_VC22,Percent; HOUSEHOLDS BY TYPE - Average family size
HC04_VC22,Percent Margin of Error; HOUSEHOLDS BY TYPE - Average family size
HC01_VC36,Estimate; MARITAL STATUS - Males 15 years and over
HC02_VC36,Margin of Error; MARITAL STATUS - Males 15 years and over
HC03_VC36,Percent; MARITAL STATUS - Males 15 years and over
HC04_VC36,Percent Margin of Error; MARITAL STATUS - Males 15 years and over
HC01_VC37,Estimate; MARITAL STATUS - Males 15 years and over - Never married
HC02_VC37,Margin of Error; MARITAL STATUS - Males 15 years and over - Never married
HC03_VC37,Percent; MARITAL STATUS - Males 15 years and over - Never married
HC04_VC37,Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Never married
HC01_VC38,"Estimate; MARITAL STATUS - Males 15 years and over - Now married, except separated"
HC02_VC38,"Margin of Error; MARITAL STATUS - Males 15 years and over - Now married, except separated"
HC03_VC38,"Percent; MARITAL STATUS - Males 15 years and over - Now married, except separated"
HC04_VC38,"Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Now married, except separated"
HC01_VC39,Estimate; MARITAL STATUS - Males 15 years and over - Separated
HC02_VC39,Margin of Error; MARITAL STATUS - Males 15 years and over - Separated
HC03_VC39,Percent; MARITAL STATUS - Males 15 years and over - Separated
HC04_VC39,Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Separated
HC01_VC40,Estimate; MARITAL STATUS - Males 15 years and over - Widowed
HC02_VC40,Margin of Error; MARITAL STATUS - Males 15 years and over - Widowed
HC03_VC40,Percent; MARITAL STATUS - Males 15 years and over - Widowed
HC04_VC40,Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Widowed
HC01_VC41,Estimate; MARITAL STATUS - Males 15 years and over - Divorced
HC02_VC41,Margin of Error; MARITAL STATUS - Males 15 years and over - Divorced
HC03_VC41,Percent; MARITAL STATUS - Males 15 years and over - Divorced
HC04_VC41,Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Divorced
HC01_VC43,Estimate; MARITAL STATUS - Females 15 years and over
HC02_VC43,Margin of Error; MARITAL STATUS - Females 15 years and over
HC03_VC43,Percent; MARITAL STATUS - Females 15 years and over
HC04_VC43,Percent Margin of Error; MARITAL STATUS - Females 15 years and over
HC01_VC44,Estimate; MARITAL STATUS - Females 15 years and over - Never married
HC02_VC44,Margin of Error; MARITAL STATUS - Females 15 years and over - Never married
HC03_VC44,Percent; MARITAL STATUS - Females 15 years and over - Never married
HC04_VC44,Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Never married
HC01_VC45,"Estimate; MARITAL STATUS - Females 15 years and over - Now married, except separated"
HC02_VC45,"Margin of Error; MARITAL STATUS - Females 15 years and over - Now married, except separated"
HC03_VC45,"Percent; MARITAL STATUS - Females 15 years and over - Now married, except separated"
HC04_VC45,"Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Now married, except separated"
HC01_VC46,Estimate; MARITAL STATUS - Females 15 years and over - Separated
HC02_VC46,Margin of Error; MARITAL STATUS - Females 15 years and over - Separated
HC03_VC46,Percent; MARITAL STATUS - Females 15 years and over - Separated
HC04_VC46,Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Separated
HC01_VC47,Estimate; MARITAL STATUS - Females 15 years and over - Widowed
HC02_VC47,Margin of Error; MARITAL STATUS - Females 15 years and over - Widowed
HC03_VC47,Percent; MARITAL STATUS - Females 15 years and over - Widowed
HC04_VC47,Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Widowed
HC01_VC48,Estimate; MARITAL STATUS - Females 15 years and over - Divorced
HC02_VC48,Margin of Error; MARITAL STATUS - Females 15 years and over - Divorced
HC03_VC48,Percent; MARITAL STATUS - Females 15 years and over - Divorced
HC04_VC48,Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Divorced
HC01_VC76,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
HC02_VC76,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
HC03_VC76,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
HC04_VC76,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
HC01_VC77,"Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
HC02_VC77,"Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
HC03_VC77,"Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
HC04_VC77,"Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool"
HC01_VC78,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten
HC02_VC78,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten
HC03_VC78,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten
HC04_VC78,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten
HC01_VC79,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)
HC02_VC79,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)
HC03_VC79,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)
HC04_VC79,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8)
HC01_VC80,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)
HC02_VC80,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)
HC03_VC80,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)
HC04_VC80,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12)
HC01_VC81,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school
HC02_VC81,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school
HC03_VC81,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school
HC04_VC81,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school
HC01_VC85,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over
HC02_VC85,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over
HC03_VC85,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over
HC04_VC85,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over
HC01_VC86,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade
HC02_VC86,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade
HC03_VC86,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade
HC04_VC86,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade
HC01_VC87,"Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
HC02_VC87,"Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
HC03_VC87,"Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
HC04_VC87,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma"
HC01_VC88,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC02_VC88,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC03_VC88,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC04_VC88,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
HC01_VC89,"Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
HC02_VC89,"Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
HC03_VC89,"Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
HC04_VC89,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree"
HC01_VC90,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree
HC02_VC90,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree
HC03_VC90,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree
HC04_VC90,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree
HC01_VC91,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree
HC02_VC91,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree
HC03_VC91,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree
HC04_VC91,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree
HC01_VC92,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree
HC02_VC92,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree
HC03_VC92,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree
HC04_VC92,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree
HC01_VC95,Estimate; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
HC02_VC95,Margin of Error; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
HC03_VC95,Percent; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
HC04_VC95,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
HC01_VC96,Estimate; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
HC02_VC96,Margin of Error; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
HC03_VC96,Percent; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
HC04_VC96,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
HC01_VC100,Estimate; VETERAN STATUS - Civilian population 18 years and over
HC02_VC100,Margin of Error; VETERAN STATUS - Civilian population 18 years and over
HC03_VC100,Percent; VETERAN STATUS - Civilian population 18 years and over
HC04_VC100,Percent Margin of Error; VETERAN STATUS - Civilian population 18 years and over
HC01_VC101,Estimate; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans
HC02_VC101,Margin of Error; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans
HC03_VC101,Percent; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans
HC04_VC101,Percent Margin of Error; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans
HC01_VC105,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
HC02_VC105,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
HC03_VC105,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
HC04_VC105,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
HC01_VC106,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability
HC02_VC106,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability
HC03_VC106,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability
HC04_VC106,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability
HC01_VC108,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
HC02_VC108,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
HC03_VC108,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
HC04_VC108,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
HC01_VC109,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability
HC02_VC109,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability
HC03_VC109,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability
HC04_VC109,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability
HC01_VC111,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
HC02_VC111,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
HC03_VC111,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
HC04_VC111,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
HC01_VC112,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability
HC02_VC112,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability
HC03_VC112,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability
HC04_VC112,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability
HC01_VC114,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
HC02_VC114,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
HC03_VC114,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
HC04_VC114,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
HC01_VC115,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability
HC02_VC115,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability
HC03_VC115,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability
HC04_VC115,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability
HC01_VC130,Estimate; PLACE OF BIRTH - Total population
HC02_VC130,Margin of Error; PLACE OF BIRTH - Total population
HC03_VC130,Percent; PLACE OF BIRTH - Total population
HC04_VC130,Percent Margin of Error; PLACE OF BIRTH - Total population
HC01_VC131,Estimate; PLACE OF BIRTH - Total population - Native
HC02_VC131,Margin of Error; PLACE OF BIRTH - Total population - Native
HC03_VC131,Percent; PLACE OF BIRTH - Total population - Native
HC04_VC131,Percent Margin of Error; PLACE OF BIRTH - Total population - Native
HC01_VC132,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States
HC02_VC132,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States
HC03_VC132,Percent; PLACE OF BIRTH - Total population - Native - Born in United States
HC04_VC132,Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States
HC01_VC133,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence
HC02_VC133,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence
HC03_VC133,Percent; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence
HC04_VC133,Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence
HC01_VC134,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - Different state
HC02_VC134,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - Different state
HC03_VC134,Percent; PLACE OF BIRTH - Total population - Native - Born in United States - Different state
HC04_VC134,Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - Different state
HC01_VC135,"Estimate; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
HC02_VC135,"Margin of Error; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
HC03_VC135,"Percent; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
HC04_VC135,"Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
HC01_VC136,Estimate; PLACE OF BIRTH - Total population - Foreign born
HC02_VC136,Margin of Error; PLACE OF BIRTH - Total population - Foreign born
HC03_VC136,Percent; PLACE OF BIRTH - Total population - Foreign born
HC04_VC136,Percent Margin of Error; PLACE OF BIRTH - Total population - Foreign born
HC01_VC140,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population
HC02_VC140,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population
HC03_VC140,Percent; U.S. CITIZENSHIP STATUS - Foreign-born population
HC04_VC140,Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population
HC01_VC141,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen
HC02_VC141,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen
HC03_VC141,Percent; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen
HC04_VC141,Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen
HC01_VC142,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen
HC02_VC142,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen
HC03_VC142,Percent; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen
HC04_VC142,Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen
HC01_VC185,Estimate; ANCESTRY - Total population
HC02_VC185,Margin of Error; ANCESTRY - Total population
HC03_VC185,Percent; ANCESTRY - Total population
HC04_VC185,Percent Margin of Error; ANCESTRY - Total population
HC01_VC186,Estimate; ANCESTRY - Total population - American
HC02_VC186,Margin of Error; ANCESTRY - Total population - American
HC03_VC186,Percent; ANCESTRY - Total population - American
HC04_VC186,Percent Margin of Error; ANCESTRY - Total population - American
HC01_VC187,Estimate; ANCESTRY - Total population - Arab
HC02_VC187,Margin of Error; ANCESTRY - Total population - Arab
HC03_VC187,Percent; ANCESTRY - Total population - Arab
HC04_VC187,Percent Margin of Error; ANCESTRY - Total population - Arab
HC01_VC188,Estimate; ANCESTRY - Total population - Czech
HC02_VC188,Margin of Error; ANCESTRY - Total population - Czech
HC03_VC188,Percent; ANCESTRY - Total population - Czech
HC04_VC188,Percent Margin of Error; ANCESTRY - Total population - Czech
HC01_VC189,Estimate; ANCESTRY - Total population - Danish
HC02_VC189,Margin of Error; ANCESTRY - Total population - Danish
HC03_VC189,Percent; ANCESTRY - Total population - Danish
HC04_VC189,Percent Margin of Error; ANCESTRY - Total population - Danish
HC01_VC190,Estimate; ANCESTRY - Total population - Dutch
HC02_VC190,Margin of Error; ANCESTRY - Total population - Dutch
HC03_VC190,Percent; ANCESTRY - Total population - Dutch
HC04_VC190,Percent Margin of Error; ANCESTRY - Total population - Dutch
HC01_VC191,Estimate; ANCESTRY - Total population - English
HC02_VC191,Margin of Error; ANCESTRY - Total population - English
HC03_VC191,Percent; ANCESTRY - Total population - English
HC04_VC191,Percent Margin of Error; ANCESTRY - Total population - English
HC01_VC192,Estimate; ANCESTRY - Total population - French (except Basque)
HC02_VC192,Margin of Error; ANCESTRY - Total population - French (except Basque)
HC03_VC192,Percent; ANCESTRY - Total population - French (except Basque)
HC04_VC192,Percent Margin of Error; ANCESTRY - Total population - French (except Basque)
HC01_VC193,Estimate; ANCESTRY - Total population - French Canadian
HC02_VC193,Margin of Error; ANCESTRY - Total population - French Canadian
HC03_VC193,Percent; ANCESTRY - Total population - French Canadian
HC04_VC193,Percent Margin of Error; ANCESTRY - Total population - French Canadian
HC01_VC194,Estimate; ANCESTRY - Total population - German
HC02_VC194,Margin of Error; ANCESTRY - Total population - German
HC03_VC194,Percent; ANCESTRY - Total population - German
HC04_VC194,Percent Margin of Error; ANCESTRY - Total population - German
HC01_VC195,Estimate; ANCESTRY - Total population - Greek
HC02_VC195,Margin of Error; ANCESTRY - Total population - Greek
HC03_VC195,Percent; ANCESTRY - Total population - Greek
